Class,Pos,"Name (last, first)",Year,Gms,Solo,Asst,Total,TFL,Yds,Sacks,Yds,Int,Yds,ITD,PBU,QBH,FR,Yd,FF,Blk Kick,Safety,Total Check,Diff,PDF,Tkls/Gm,Tm Rank,PDF
Sr,LB,"Dawson, Grant",2017,13,57,33,90,1.5,39,2.5,18,0,0,0,1,1,0,0,1,,,90,0,1,,,1
Sr,LB,"Williams, Jaboree",2017,13,56,29,85,13.0,33,2.5,14,2,60,0,3,2,2,0,0,,,85,0,5,,,5
Sr,DE,"Dunn, Wendell",2017,13,26,20,46,7.0,52,3,37,0,0,0,2,6,0,0,3,1,,46,0,2,,,2
Sr,DE,"Ejiofor, Duke",2017,12,26,17,43,16.5,79,6.5,46,0,0,0,1,9,0,0,2,,,43,0,1,,,1
Sr,QB,"Wolford, John",2017,12,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,,
So,S,"Bates, Jessie",2017,11,50,29,79,6.0,12,0,0,1,37,0,5,0,0,0,1,,,79,0,6,,,6
So,CB,"Bassey, Essang",2017,13,52,23,75,6.0,11,0,0,3,30,1,16,0,0,0,0,,,75,0,19,,,19
So,CB,"Henderson,, Amari",2017,13,51,11,62,1.5,4,0,0,2,0,0,12,0,0,0,0,,,62,0,14,,,14
So,LB,"Strnad, Justin",2017,13,32,19,51,8.5,34,4.5,22,3,44,0,1,1,1,0,2,,,51,0,4,,,4
So,DT,"Bateman, Elontae",2017,13,11,11,22,4.5,8,1,2,0,0,0,0,0,0,0,0,,,22,0,0,,,0
So,TE,"Freudenthal, Jack",2017,13,5,4,9,0.0,0,0,0,0,0,0,0,0,0,0,0,,,9,0,0,,,0
So,DE,"Black, Paris",2017,9,5,1,6,1.0,7,1,7,0,0,0,0,0,1,0,0,,,6,0,0,,,
So,WR,"Claude, Steve",2017,12,3,3,6,0.0,0,0,0,0,0,0,0,0,0,0,0,,,6,0,0,,,
So,LS,"Diemel, Dayton",2017,13,4,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,,,4,0,0,,,
So,CB,"Grate, Malik",2017,4,2,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,,,3,0,0,,,
So,LB,"Mays, Nate",2017,9,2,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,,,3,0,0,,,
So,P,"Maggio, Dom",2017,13,2,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,,,
So,RB,"Carney, Cade",2017,8,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,,,
So,WR,"Washington, Scotty",2017,13,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,,
So,PK,"Brown, Ben",2017,1,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,,
RS,S,"Masterson, Luke",2017,13,34,8,42,1.0,1,0,0,0,0,0,3,0,0,0,0,,,42,0,3,,,3
RS,DE,"Basham, Carlos",2017,13,15,9,24,2.0,2,0,0,0,0,0,3,3,1,0,0,,1,24,0,3,,,3
RS,LB,"Williams, Ja'Cquez",2017,12,17,4,21,2.0,7,1,4,0,0,0,1,1,0,0,0,,,21,0,1,,,1
RS,DT,"Kamara, Sulaiman",2017,12,6,6,12,3.0,6,0,0,0,0,0,0,2,1,0,0,,,12,0,0,,,0
Jr,S,"Glenn, Cam",2017,13,65,33,98,3.5,12,0,0,2,16,,7,2,0,0,1,,,98,0,9,,,9
Jr,LB,"Kemp, Demetrius",2017,13,44,19,63,1.5,4,1,3,1,0,0,1,2,1,0,3,,,63,0,2,,,2
Jr,DT,"Yarbary, Willie",2017,13,14,16,30,7.5,21,4,17,0,0,0,1,4,0,0,0,,,30,0,1,,,1
Jr,DT,"Rodney, Zeek",2017,12,14,15,29,8.5,28,1,11,0,0,0,0,5,0,0,0,0,,29,0,0,,,0
Jr,DE,"Calhoun, Chris",2017,13,10,11,21,1.5,3,0,0,0,0,0,1,3,0,0,1,,,21,0,1,,,1
Jr,WR,"Wade, Chuck",2017,13,6,1,7,0.0,0,0,0,0,0,0,0,0,0,0,0,,,7,0,0,,,
Jr,WR,"Bachman, Alex",2017,12,2,3,5,0.0,0,0,0,0,0,0,0,0,0,0,0,,,5,0,0,,,
Jr,WR,"Lewis, Cortez",2017,11,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,,,
Jr,WR,"Hines, Tabari",2017,13,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,,
Jr,LB,"McNeil, Kalin",2017,1,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,,
Jr,OG,"Osterhage, Patrick",2017,12,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,,
GRAD,DT,"Young, Deon",2017,6,4,1,5,0.0,0,0,0,0,0,0,0,1,0,0,0,,,5,0,0,,,
