"","Day","Year","Opponent","GameNumber","Wake_Result","Wake_Rushes","Wake_Rush_Yds","Wake_Rush_TD","Wake_Rush_Lg","Wake_Receptions","Wake_Receptions_Yds","Wake_Receptions_TD","Wake_Receptions_Lg","Wake_Pass_Cmp","Wake_Pass_Att","Wake_Pass_Int","Wake_Pass_Yds","Wake_Pass_TD","Wake_Pass_Lg","Wake_KOR","Wake_KOR_Yds","Wake_KOR_TD","Wake_KOR_Lg","Wake_PR","Wake_PR_Yds","Wake_PR_TD","Wake_PR_LG","Wake_Total_Offense","Wake_Total_Of_Plays","Wake_1st_Downs","Wake_1DRsh","Wake_1DPs","Wake_1DPen","Wake_Solo","Wake_Ast","Wake_Total_Tackles","Wake_TFL","Wake_TFL_Yds","Wake_Sacks","Wake_Sacks_Yds","Wake_FF","Wake_FR","Wake_Fumble_Yds","Wake_Int","Wake_Int_Yds","Wake_QBH","Wake_Brk","Wake_Blk_Kick","Wake_PAT_M","Wake_PAT_Att","Wake_Run","Wake_Rcv","Wake_safety","Wake_Pts","Wake_Punts","Wake_Punts_Yds","Wake_Punts_Avg","Wake_Punts_Lg","Wake_Blkd","Wake_TB","Wake_FB","Wake_50+","Wake_I20","Wake1_FGA","Wake1_FGM","Wake1_Lg","Wake1_Blkd","Wake_Ko","Wake_Ko_Yds","Wake_Ko_Avg","Wake1_TB","Wake_OB","Wake_2gm_TO","Wake_Rush_2gms","Wake_Rush_3gms","Opp_Rushes","Opp_Rushes_Yds","Opp_Rushes_TD","Opp_Rushes_Lg","Opp_Receptions","Opp_Receptions_Yds","Opp_Receptions_TD","Opp_Receptions_Lg","Opp_Pass_Cmp","Opp_Pass_Att","Opp_Pass_Int","Opp_Pass_Yds","Opp_Pass_TD","Opp_Pass_Lg","Opp_KOR","Opp_KOR_Yds","Opp_KOR_TD","Opp_KOR_LG","Opp","Opp.1","Opp_PR_TD","Opp_PR_LG","Opp_Total_Offense","Opp_1st_Downs","Opp_1D-Ru","Opp_1D-Pa","Opp_1D-Pn","Opp_Solo","Opp_Ast","Opp_Total_Tackles","Opp_TFL","Opp_TFL_Yds","Opp_Sacks","Opp_Sacks_Yds","Opp_FF","Opp_FR","Opp_Fumble_Yds","Opp_Int","Opp_Int_Yds","Opp_QBH","Opp_Brk","Opp_Blk_Kick","Opp_PAT_Att","Opp_PAT_M","Opp_Run","Opp_Rcv","Opp_Safety","Opp_Pts","Opp_Punts","Opp_Punts_Yds","Opp_Punts_Avg","Opp_Punts_Lg","Opp_Blkd","Opp_TB","Opp_FC","Opp_50+","Opp_I20","Opp1_FGA","Opp1_FGM","Opp1_Lg","Opp1_Blk","Opp_Ko","Opp_Yds_10","Opp1_Avg","Opp1_TB","Opp_OB","Opp_YPC","Opp_YPA","Opp_Tot_Off_Plays","Opp_YPP","alltimefb_W/L","alltimefb_Score","alltimefb_WFU","alltimefb_Opp","alltimefb_Margin","alltimefb_Calc","alltimefb_ATT","alltimefb_Opp Conf","alltimefb_H A","alltimefb_ACC Rec after for WF","alltimefb_Opp Rec before gm","alltimefb_WF Rank","alltimefb_WF AP","alltimefb_WF Coach","alltimefb_WF CFP","alltimefb_Opp Rank","alltimefb_Opp AP","alltimefb_Opp Coaches Poll","alltimefb_Opp CFP","alltimefb_Notes","alltimefb_WF Record (after)","alltimefb_Coach Rec","alltimefb_Coach","alltimefb_Opp Coach","alltimefb_Pts Combo","alltimefb_OT","alltimefb_Season Win #","alltimefb_Season #","alltimefb_Gm #","alltimefb_Surface","alltimefb_State","alltimefb_Jersey","alltimefb_Pants","alltimefb_Helmet","alltimefb_Game Time","alltimefb_Night","alltimefb_PDF","alltimefb_<17","alltimefb_Temp","alltimefb_Weather","alltimefb_TV","alltimefb_PxP","alltimefb_Analyst","alltimefb_Sideline","alltimefb_Analyst__1","alltimefb_Level","alltimefb_Division","alltimefb_Toss","alltimefb_Choice","alltimefb_Bye","alltimefb_Gm #__1","alltimefb_Check","alltimefb_ACC Opener","alltimefb_ACC Hm Opener","alltimefb_Homecoming","alltimefb_Big 4","alltimefb_0-1L-Nov","alltimefb_Final Play","alltimefb_NFL Stadium","alltimefb_ATW","alltimefb_ATL","alltimefb_ATT__1","alltimefb_AT Pct","alltimefb_Bowl","alltimefb_Discrepancies","alltimefb_Nickname","alltimefb_LINK","alltimefb_Coastal-Atlantic","alltimefb_Starting QB","alltimefb_WF Poss","alltimefb_TD","alltimefb_FG","alltimefb_Punt","alltimefb_L/TO","alltimefb_MFG","alltimefb_Dns","alltimefb_Time","alltimefb_TOT","alltimefb_Opp Dr","alltimefb_TD__1","alltimefb_FG__1","alltimefb_Punt__1","alltimefb_L/TO__1","alltimefb_Dns__1","alltimefb_MFG__1","alltimefb_Time__1","alltimefb_TOT__1","alltimefb_Off Drs","alltimefb_3-and-out","alltimefb_Def Drs","alltimefb_3 and out","alltimefb_Non-Sat","alltimefb_Opp W","alltimefb_Opp L","alltimefb_Opp T","alltimefb_Opp Bowl","alltimefb_Line","alltimefb_TV Viewers","alltimefb_TV rating","alltimefb_Conf gm","alltimefb_1st 3 gms","alltimefb_1st 4 gms","alltimefb_Pts Ald-4","alltimefb_5 gms-PF","alltimefb_30 pt gms","alltimefb_X__1","alltimefb_Upset"
"1","Sept. 23",1944,"NORTH CAROLINA",328,NA,NA,156,NA,NA,NA,NA,NA,NA,"5","15","0","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,"2",7,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W","7-0",7,0,7,"W",13000,"SoCon","A","0-0","0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-0","37-29-3","D.C. Walker","Gene McEver",7,NA,1,1,329,NA,"NC",NA,NA,NA,"3:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,NA,NA,NA,NA,"W",NA,NA,NA,"133",NA,NA,NA,NA,NA,"Tar Heels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA
"2","Oct. 7",1944,"MARYLAND",330,NA,NA,260,NA,NA,NA,NA,NA,NA,"5","19",NA,"174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,"2",18,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W","39-7",39,7,32,"W",1500,"SoCon","H","0-1","0-1",NA,NA,NA,NA,NA,NA,NA,NA,"First home game in 2 yrs says newspaper","3-0","39-29-3","D.C. Walker","Clarence Spears",46,NA,3,3,331,NA,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,NA,NA,NA,NA,NA,NA,NA,NA,"135",NA,NA,NA,NA,NA,"Terrapins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",60,NA,NA,NA,NA,NA,NA
"3","Sept. 27",1946,"BOSTON COLLEGE",346,"W",41,90,2,NA,"5","33",0,NA,"5","11","1","83",0,NA,1,20,"0",NA,8,141,0,NA,123,52,"10",4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,102,0,NA,11,107,"1",NA,"11",23,2,"107",1,NA,3,81,0,NA,4,5,0,NA,209,"10",4,"5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W","12-6",12,6,6,"W",38500,"Ind","A",NA,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,"largest crowd to see Wake play at the time","1-0",NA,"D.C. Walker","Denny Myers",18,NA,NA,1,347,NA,"MASS",NA,NA,NA,NA,"N",NA,NA,NA,"fair and cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,NA,NA,NA,NA,NA,NA,NA,NA,"146",NA,NA,NA,NA,NA,"Eagles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Friday",6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Oct. 4",1946,"GEORGETOWN",347,"W",63,228,2,NA,"3","25",0,NA,"3","13","1","25",0,NA,3,60,"0",NA,4,31,0,NA,253,76,"15",14,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,55,0,NA,3,29,"1",NA,"3",8,2,"29",0,NA,3,92,0,NA,7,53,0,NA,84,"5",3,"2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W","19-6",19,6,13,"W",16500,"Ind","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Griffith Stadium","2-0",NA,"D.C. Walker","Jack Hagerty",25,NA,NA,2,348,NA,"DC",NA,NA,NA,NA,"N",NA,NA,NA,"fair and cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,NA,NA,NA,NA,NA,NA,NA,NA,"147",NA,NA,NA,NA,NA,"Hoyas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Friday",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Oct. 12",1946,"CLEMSON",348,"W",45,72,2,NA,"8","155",1,NA,"8","14","0","155",1,NA,2,40,"0",NA,5,24,0,NA,227,59,"11",6,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,79,1,NA,4,40,"0",NA,"4",10,2,"40",0,NA,4,52,0,NA,5,29,0,NA,119,"5",4,"1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W","19-7",19,7,12,"W",8000,"SoCon","H",NA,"1-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-0","52-33-4","D.C. Walker","Frank Howard",26,NA,NA,3,349,NA,"SC",NA,NA,NA,"2:30",NA,NA,NA,NA,"fair 1st half, rain 2nd half",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,NA,NA,NA,NA,NA,NA,NA,NA,"148",NA,NA,NA,NA,NA,"Tigers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",50,NA,NA,NA,NA,NA,NA
"6","Oct. 19",1946,"NC STATE",349,"L",42,110,1,NA,"11","147",0,NA,"11","24","4","147",0,NA,3,59,"0",NA,3,14,0,NA,257,66,"15",6,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,0,NA,12,147,"2",NA,"12",20,0,"147",2,NA,2,33,0,NA,3,24,0,NA,179,"12",3,"7","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L","6-14",6,14,-8,"L",23000,"SoCon","H",NA,"3-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-1",NA,"D.C. Walker","Beattie Feathers",20,NA,NA,4,350,NA,"NC",NA,NA,NA,"2:30",NA,NA,NA,NA,"fair and mild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,NA,NA,NA,"X","L",NA,NA,NA,NA,"181",NA,NA,NA,NA,"Wolfpack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gator",NA,NA,NA,"Y",NA,56,33,NA,NA,NA,NA
"7","Oct. 26",1946,"TENNESSEE",350,"W",54,168,2,NA,"6","87",1,NA,"6","13","2","87",1,NA,1,20,"0",NA,4,13,0,NA,255,67,"11",5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,86,0,NA,13,161,"1",NA,"13",26,1,"161",1,NA,5,129,0,NA,5,27,0,NA,247,"10",5,"5","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W","19-6",19,6,13,"W",25000,"SEC","A",NA,"4-0",NA,NA,NA,NA,"4","4",NA,NA,"Shields-Watkins Field","4-1",NA,"D.C. Walker","Bob Neyland",25,NA,1,5,351,NA,"TN",NA,NA,NA,"2:00",NA,NA,NA,NA,"fair and warm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,"149",NA,NA,NA,NA,NA,"Volunteers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Orange",NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA
"8","Nov. 1",1946,"CHATTANOOGA",351,"W",65,296,3,NA,"4","107",2,NA,"4","15","1","107",2,NA,4,117,"0",NA,4,42,0,NA,403,80,"22",17,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,117,2,NA,6,75,"0",NA,"6",19,3,"75",0,NA,4,63,0,NA,2,6,0,NA,192,"8",5,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W","32-14 (12)",32,14,18,"W",9000,"Ind","A",NA,"2-3","12",NA,NA,NA,NA,NA,NA,NA,NA,"5-1","54-34-4","D.C. Walker","Scrappy Moore",46,NA,2,6,352,NA,"TN",NA,NA,NA,NA,"N",NA,NA,NA,"fair and cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,NA,NA,NA,NA,NA,NA,NA,NA,"150",NA,NA,NA,NA,NA,"Mocs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Friday",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Nov. 9",1946,"DUKE",352,"L",31,80,0,NA,"7","80",0,NA,"7","15","2","80",0,NA,3,43,"0",NA,5,23,0,NA,160,46,"7",4,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,158,2,NA,1,11,"0",NA,"1",5,0,"11",0,NA,1,17,0,NA,4,33,0,NA,169,"12",11,"1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L","0-13 (13)",0,13,-13,"L",25000,"SoCon","A",NA,"2-4","13",NA,NA,NA,NA,NA,NA,NA,NA,"5-2",NA,"D.C. Walker","Wallace Wade",13,NA,NA,7,353,NA,"NC",NA,NA,NA,"2:00",NA,NA,NA,NA,"fair and warm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,NA,NA,NA,NA,"L",NA,NA,NA,NA,"182",NA,NA,NA,NA,"Blue Devils",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA
"10","Nov. 16",1946,"NORTH CAROLINA",353,"L",33,81,1,NA,"13","255",1,NA,"13","26","1","255",1,NA,6,114,"0",NA,3,30,0,NA,336,59,"12",4,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,257,1,NA,3,112,"3",NA,"3",8,3,"112",3,NA,2,49,0,NA,3,48,0,NA,369,"11",10,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L","14-26",14,26,-12,"L",30000,"SoCon","A",NA,"5-1-1",NA,NA,NA,NA,"15","15",NA,NA,"largest to see a Wake-UNC game","5-3",NA,"D.C. Walker","Carl Snavely",40,NA,NA,8,354,NA,"NC",NA,NA,NA,"2:00",NA,NA,NA,NA,"fair and warm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353,NA,NA,NA,NA,"L","L",NA,NA,NA,"183",NA,NA,NA,NA,"Tar Heels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sugar",NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA
