"","PlayerYear","PlayerPosition","Name","calYear","Games","SoloTackles","AsstTackles","TotalTackles","TacklesForLoss","TFL_Yds","Sacks","Sack_Yds","Int","Int_Yds","IntTD","PassBreakUps","QBHurries","FumbleRecov","FumbleRecov_Yds","ForcedFumbles","BlockedKicks","Safety","Tkls/Gm","TotalCheck","Diff","PDF","Tm Rank","PDF_1"
"1","SR","LB","DAWSON, GRANT",2017,13,57,33,90,1.5,39,2.5,18,0,0,0,1,1,0,0,1,NA,NA,6.92307692307692,90,0,1,NA,1
"2","SR","LB","WILLIAMS, JABOREE",2017,13,56,29,85,13,33,2.5,14,2,60,0,3,2,2,0,0,NA,NA,6.53846153846154,85,0,5,NA,5
"3","SR","DE","DUNN, WENDELL",2017,13,26,20,46,7,52,3,37,0,0,0,2,6,0,0,3,1,NA,3.53846153846154,46,0,2,NA,2
"4","SR","DE","EJIOFOR, DUKE",2017,12,26,17,43,16.5,79,6.5,46,0,0,0,1,9,0,0,2,NA,NA,3.58333333333333,43,0,1,NA,1
"5","SR","QB","WOLFORD, JOHN",2017,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.0833333333333333,1,0,0,NA,NA
"6","SO","S","BATES, JESSIE",2017,11,50,29,79,6,12,0,0,1,37,0,5,0,0,0,1,NA,NA,7.18181818181818,79,0,6,NA,6
"7","SO","CB","BASSEY, ESSANG",2017,13,52,23,75,6,11,0,0,3,30,1,16,0,0,0,0,NA,NA,5.76923076923077,75,0,19,NA,19
"8","SO","CB","HENDERSON,, AMARI",2017,13,51,11,62,1.5,4,0,0,2,0,0,12,0,0,0,0,NA,NA,4.76923076923077,62,0,14,NA,14
"9","SO","LB","STRNAD, JUSTIN",2017,13,32,19,51,8.5,34,4.5,22,3,44,0,1,1,1,0,2,NA,NA,3.92307692307692,51,0,4,NA,4
"10","SO","DT","BATEMAN, ELONTAE",2017,13,11,11,22,4.5,8,1,2,0,0,0,0,0,0,0,0,NA,NA,1.69230769230769,22,0,0,NA,0
"11","SO","TE","FREUDENTHAL, JACK",2017,13,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.692307692307692,9,0,0,NA,0
"12","SO","DE","BLACK, PARIS",2017,9,5,1,6,1,7,1,7,0,0,0,0,0,1,0,0,NA,NA,0.666666666666667,6,0,0,NA,NA
"13","SO","WR","CLAUDE, STEVE",2017,12,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.5,6,0,0,NA,NA
"14","SO","LS","DIEMEL, DAYTON",2017,13,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.307692307692308,4,0,0,NA,NA
"15","SO","CB","GRATE, MALIK",2017,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.75,3,0,0,NA,NA
"16","SO","LB","MAYS, NATE",2017,9,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.333333333333333,3,0,0,NA,NA
"17","SO","P","MAGGIO, DOM",2017,13,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.153846153846154,2,0,0,NA,NA
"18","SO","RB","CARNEY, CADE",2017,8,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.25,2,0,0,NA,NA
"19","SO","WR","WASHINGTON, SCOTTY",2017,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0.0769230769230769,1,0,0,NA,NA
"20","SO","PK","BROWN, BEN",2017,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,1,0,0,NA,NA
"21","RS","S","MASTERSON, LUKE",2017,13,34,8,42,1,1,0,0,0,0,0,3,0,0,0,0,NA,NA,3.23076923076923,42,0,3,NA,3
"22","RS","DE","BASHAM, CARLOS",2017,13,15,9,24,2,2,0,0,0,0,0,3,3,1,0,0,NA,1,1.84615384615385,24,0,3,NA,3
"23","RS","LB","WILLIAMS, JA'CQUEZ",2017,12,17,4,21,2,7,1,4,0,0,0,1,1,0,0,0,NA,NA,1.75,21,0,1,NA,1
"24","RS","DT","KAMARA, SULAIMAN",2017,12,6,6,12,3,6,0,0,0,0,0,0,2,1,0,0,NA,NA,1,12,0,0,NA,0
"25","JR","S","GLENN, CAM",2017,13,65,33,98,3.5,12,0,0,2,16,NA,7,2,0,0,1,NA,NA,7.53846153846154,98,0,9,NA,9
"26","JR","LB","KEMP, DEMETRIUS",2017,13,44,19,63,1.5,4,1,3,1,0,0,1,2,1,0,3,NA,NA,4.84615384615385,63,0,2,NA,2
"27","JR","DT","YARBARY, WILLIE",2017,13,14,16,30,7.5,21,4,17,0,0,0,1,4,0,0,0,NA,NA,2.30769230769231,30,0,1,NA,1
"28","JR","DT","RODNEY, ZEEK",2017,12,14,15,29,8.5,28,1,11,0,0,0,0,5,0,0,0,0,NA,2.41666666666667,29,0,0,NA,0
"29","JR","DE","CALHOUN, CHRIS",2017,13,10,11,21,1.5,3,0,0,0,0,0,1,3,0,0,1,NA,NA,1.61538461538462,21,0,1,NA,1
"30","JR","WR","WADE, CHUCK",2017,13,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.538461538461538,7,0,0,NA,NA
