,Name,Opponent,WeekNum,PlayType,PlayerPosition,PlayerYear,calYear,HomeAway,WinLoss,RushAtt,RushYds,RushTD,ReceiveRec,ReceiveYds,ReceiveTD,PassCmp,PassAtt,PassInt,PassYds,PassTD,PassEff,PuntNo,PuntYds,PuntAvg,PuntBLK,PuntLNG,FGM,FGA,FGLP,IntInt,IntYds,IntTD,PRRet,PRYds,PRLP,KORet,KOYds,KOLP,AllPurpYds
1,DONAHUE,BOSTON COLLEGE,1,Interceptions,C,SO,1950,A,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,DONAHUE,RICHMOND,2,Interceptions,C,SO,1950,H,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,DONAHUE,WILLIAM & MARY,3,Interceptions,C,SO,1950,A,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,DONAHUE,NORTH CAROLINA,4,Interceptions,C,SO,1950,A,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,DONAHUE,GEORGE WASHINGTON,5,Interceptions,C,SO,1950,H,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,DONAHUE,CLEMSON,6,Interceptions,C,SO,1950,H,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7,DONAHUE,DUKE,7,Interceptions,C,SO,1950,A,W,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,0
8,DONAHUE,NC STATE,8,Interceptions,C,SO,1950,H,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9,DONAHUE,SOUTH CAROLINA,9,Interceptions,C,SO,1950,A,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10,FINNANCE,BOSTON COLLEGE,1,Interceptions,RG,SO,1950,A,T,,,,,,,,,,,,,,,,,,,,,1,3,0,,,,,,,3
11,FINNANCE,RICHMOND,2,Interceptions,RG,SO,1950,H,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,FINNANCE,WILLIAM & MARY,3,Interceptions,RG,SO,1950,A,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,FINNANCE,NORTH CAROLINA,4,Interceptions,RG,SO,1950,A,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,FINNANCE,GEORGE WASHINGTON,5,Interceptions,RG,SO,1950,H,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,FINNANCE,CLEMSON,6,Interceptions,RG,SO,1950,H,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,FINNANCE,DUKE,7,Interceptions,RG,SO,1950,A,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,FINNANCE,NC STATE,8,Interceptions,RG,SO,1950,H,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,FINNANCE,SOUTH CAROLINA,9,Interceptions,RG,SO,1950,A,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,LISTOPAD,BOSTON COLLEGE,1,Interceptions,RT,JR,1950,A,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,LISTOPAD,RICHMOND,2,Interceptions,RT,JR,1950,H,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,LISTOPAD,WILLIAM & MARY,3,Interceptions,RT,JR,1950,A,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,LISTOPAD,NORTH CAROLINA,4,Interceptions,RT,JR,1950,A,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,LISTOPAD,GEORGE WASHINGTON,5,Interceptions,RT,JR,1950,H,W,,,,,,,,,,,,,,,,,,,,,1,5,0,,,,,,,5
24,LISTOPAD,CLEMSON,6,Interceptions,RT,JR,1950,H,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,LISTOPAD,DUKE,7,Interceptions,RT,JR,1950,A,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,LISTOPAD,NC STATE,8,Interceptions,RT,JR,1950,H,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,LISTOPAD,SOUTH CAROLINA,9,Interceptions,RT,JR,1950,A,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,GWINN,BOSTON COLLEGE,1,Punt Returns,RH,JR,1950,A,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,GWINN,RICHMOND,2,Punt Returns,RH,JR,1950,H,W,,,,,,,,,,,,,,,,,,,,,,,,3,61,0,,,,61
30,GWINN,WILLIAM & MARY,3,Punt Returns,RH,JR,1950,A,W,,,,,,,,,,,,,,,,,,,,,,,,3,39,0,,,,39
31,GWINN,NORTH CAROLINA,4,Punt Returns,RH,JR,1950,A,W,,,,,,,,,,,,,,,,,,,,,,,,5,33,0,,,,33
