calYear,Opponent,Win/Loss,Home/Away,Score,Name,WeekNum,PlayType,PlayerPosition,PlayerYear,RushAtt,RushYds,RushTD,ReceiveRec,ReceiveYds,ReceiveTD,PassCmp,PassAtt,PassInt,PassYds,PassTD,PassEff,PuntNo,PuntYds,PuntAvg,PuntBLK,PuntLNG,FGM,FGA,FGLP,IntInt,IntYds,IntTD,PRRet,PRYds,PRLP,KORet,KOYds,KOLP
1950,BOSTON COLLEGE,T,A,7-Jul,KISSELL,1,Rushing / Passing,QB,JR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,CHESHIRE,1,Rushing / Punting / Punt Returns,RH,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,GWINN,1,Punt Returns,RH,JR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,DONAHUE,1,Interceptions,C,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,KING,1,Rushing / Receiving / Punting / Interceptions / KO Returns,FB,SR,NA,NA,NA,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,0
1950,BOSTON COLLEGE,T,A,7-Jul,ROBERSON,1,Rushing,RH,JR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,SPENCER,1,Rushing / Interceptions / KO Returns,LH,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,MORRIS,1,Rushing / Receiving / Punt Returns,LH,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,0,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,DAVIS,1,Rushing / Passing / Punting,QB,JR,5,1,0,NA,NA,NA,4,18,2,23,0,0.222222222,3,79,26.33333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,BELISIS,1,Rushing,FB,JR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,JONES,1,Rushing / Receiving / Punting / Interceptions / KO Returns,LH,SR,3,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,LEWIS,1,Receiving,RE,SO,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,SMITH,1,Rushing / Receiving / Passing / Punting / Punt Returns / KO Returns,LH,JR,17,81,0,2,22,0,2,4,1,19,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,17,0,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,MCCLURE,1,Receiving / KO Returns,LE,JR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,FINNANCE,1,Interceptions,RG,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,NA,NA,NA,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,MILLER,1,Rushing / Receiving / KO Returns,FB,JR,17,54,1,1,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,BUTLER,1,Receiving / KO Returns,LE,SR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,SCARTON,1,Rushing / Receiving / Interceptions / Punt Returns / KO Returns,RH,JR,16,72,0,2,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,9,0
1950,BOSTON COLLEGE,T,A,7-Jul,LISTOPAD,1,Interceptions,RT,JR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,BLACKBERRY,1,Rushing / Passing,QB,SR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,BOSTON COLLEGE,T,A,7-Jul,KOCH,1,Punting / Interceptions / KO Returns,RH,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50,25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,RICHMOND,W,H,43-0,DAVIS,2,Rushing / Passing / Punting,QB,JR,3,-26,0,NA,NA,NA,5,7,1,117,1,0.714285714,3,106,35.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,RICHMOND,W,H,43-0,CHESHIRE,2,Rushing / Punting / Punt Returns,RH,SO,1,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
