"","Name","Opponent","WeekNum","PlayType","PlayerPosition","PlayerYear","calYear","RushAtt","RushYds","RushTD","ReceiveRec","ReceiveYds","ReceiveTD","PassCmp","PassAtt","PassInt","PassYds","PassTD","PassEff","PuntNo","PuntYds","PuntAvg","PuntBLK","PuntLNG","FGM","FGA","FGLP","IntInt","IntYds","IntTD","PRRet","PRYds","PRLP","KORet","KOYds","KOLP"
"1","DONAHUE","BOSTON COLLEGE",1,"Interceptions","C","SO",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","DONAHUE","RICHMOND",2,"Interceptions","C","SO",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","DONAHUE","WILLIAM & MARY",3,"Interceptions","C","SO",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","DONAHUE","NORTH CAROLINA",4,"Interceptions","C","SO",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","DONAHUE","GEORGE WASHINGTON",5,"Interceptions","C","SO",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","DONAHUE","CLEMSON",6,"Interceptions","C","SO",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","DONAHUE","DUKE",7,"Interceptions","C","SO",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA
"8","DONAHUE","NC STATE",8,"Interceptions","C","SO",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","DONAHUE","SOUTH CAROLINA",9,"Interceptions","C","SO",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","FINNANCE","BOSTON COLLEGE",1,"Interceptions","RG","SO",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,NA,NA,NA,NA,NA,NA
